TimePeriodEnd,OBIS,Value,Status
2019-06-01T00:00:00,1-1:1.6.1,6.6000,V
2019-06-01T00:00:00,1-1:1.6.2,5.1000,V
2019-06-01T00:00:00,1-1:1.8.1,7347.5000,V
2019-06-01T00:00:00,1-1:1.8.2,19100.1000,V
2019-06-01T00:00:00,1-1:2.6.1,6.9000,V
2019-06-01T00:00:00,1-1:2.6.2,6.1000,V
2019-06-01T00:00:00,1-1:2.8.1,9163.1000,V
2019-06-01T00:00:00,1-1:2.8.2,4103.4000,V
2019-06-01T00:00:00,1-1:5.8.1,313.0000,V
2019-06-01T00:00:00,1-1:5.8.2,617.0000,V
2019-06-01T00:00:00,1-1:6.8.1,34.0000,V
2019-06-01T00:00:00,1-1:6.8.2,9.0000,V
2019-06-01T00:00:00,1-1:7.8.1,638.0000,V
2019-06-01T00:00:00,1-1:7.8.2,269.0000,V
2019-06-01T00:00:00,1-1:8.8.1,903.0000,V
2019-06-01T00:00:00,1-1:8.8.2,2543.0000,V
