timePeriodEnd,obis,valueTimeStamp,value,status
2021-06-01T00:00:00,1-1:1.6.1,2021-05-07T06:15:00,6.8000,V
2021-06-01T00:00:00,1-1:1.6.2,2021-05-03T05:45:00,5.1000,V
2021-06-01T00:00:00,1-1:1.8.1,,18197.7000,V
2021-06-01T00:00:00,1-1:1.8.2,,34130.2000,V
2021-06-01T00:00:00,1-1:2.6.1,2021-05-23T11:15:00,7.2000,V
2021-06-01T00:00:00,1-1:2.6.2,2021-05-23T11:15:00,7.2000,V
2021-06-01T00:00:00,1-1:2.8.1,,13978.2000,V
2021-06-01T00:00:00,1-1:2.8.2,,7645.2000,V
2021-06-01T00:00:00,1-1:5.8.1,,426.0000,V
2021-06-01T00:00:00,1-1:5.8.2,,661.0000,V
2021-06-01T00:00:00,1-1:6.8.1,,44.0000,V
2021-06-01T00:00:00,1-1:6.8.2,,12.0000,V
2021-06-01T00:00:00,1-1:7.8.1,,1946.0000,V
2021-06-01T00:00:00,1-1:7.8.2,,1022.0000,V
2021-06-01T00:00:00,1-1:8.8.1,,3177.0000,V
2021-06-01T00:00:00,1-1:8.8.2,,8155.0000,V
